ID Classe,Name,Requisiti Funzionali
15,Sensore (Astratta),"Misurazione del tasso alcolemico  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20del%20tasso%20alcolemico%2019a1100dcfbd81478aa7f117bfc0bce8.md), Misurazione di sostanze stupefacenti  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20di%20sostanze%20stupefacenti%2019a1100dcfbd8100bf0dfc27fcb71188.md)"
1,Etilometro,Misurazione del tasso alcolemico  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20del%20tasso%20alcolemico%2019a1100dcfbd81478aa7f117bfc0bce8.md)
5,SensoreSaliva,Misurazione di sostanze stupefacenti  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20di%20sostanze%20stupefacenti%2019a1100dcfbd8100bf0dfc27fcb71188.md)
10,CentralinaIOT,"Blocco dell’avvio del veicolo  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Blocco%20dell%E2%80%99avvio%20del%20veicolo%2019a1100dcfbd816d8568c80ceac15f92.md), Controllo misurazione (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Controllo%20misurazione%2019a1100dcfbd8168a563ed39b9a87fcc.md), Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md), Visualizzazione storico delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20storico%20delle%20segnalazioni%2019a1100dcfbd8157b9eef30462da37e6.md)"
11,ServerCentrale,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
17,DashBoard,"Visualizzazione delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20delle%20segnalazioni%2019a1100dcfbd81b6b91ff33b7e840ca4.md), Visualizzazione storico delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20storico%20delle%20segnalazioni%2019a1100dcfbd8157b9eef30462da37e6.md)"
7,Alert (Astratta),Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
4,Utente,"Misurazione del tasso alcolemico  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20del%20tasso%20alcolemico%2019a1100dcfbd81478aa7f117bfc0bce8.md), Misurazione di sostanze stupefacenti  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20di%20sostanze%20stupefacenti%2019a1100dcfbd8100bf0dfc27fcb71188.md)"
2,Motore (Esterna),Blocco dell’avvio del veicolo  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Blocco%20dell%E2%80%99avvio%20del%20veicolo%2019a1100dcfbd816d8568c80ceac15f92.md)
9,AlertAlcol,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
16,AlertSostanze,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
12,AlertManutenzioneEtilometro,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
6,Gestore,"Visualizzazione storico delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20storico%20delle%20segnalazioni%2019a1100dcfbd8157b9eef30462da37e6.md), Visualizzazione delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20delle%20segnalazioni%2019a1100dcfbd81b6b91ff33b7e840ca4.md)"
14,AlertManutenzioneSensoreSostanze,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
13,Servizio (Astratta),Contatto assistenza (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Contatto%20assistenza%2019a1100dcfbd8140a469d8c5e6d61f15.md)
3,"Tecnico ",Contatto assistenza (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Contatto%20assistenza%2019a1100dcfbd8140a469d8c5e6d61f15.md)
18,"Forze dell’Ordine ",Contatto assistenza (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Contatto%20assistenza%2019a1100dcfbd8140a469d8c5e6d61f15.md)
8,"Assistenza stradale ",Contatto assistenza (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Contatto%20assistenza%2019a1100dcfbd8140a469d8c5e6d61f15.md)