Name,ID Classe,Requisiti Funzionali
SensoreSaliva,5,Misurazione di sostanze stupefacenti  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20di%20sostanze%20stupefacenti%2019a1100dcfbd8100bf0dfc27fcb71188.md)
Gestore,6,"Visualizzazione storico delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20storico%20delle%20segnalazioni%2019a1100dcfbd8157b9eef30462da37e6.md), Visualizzazione delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20delle%20segnalazioni%2019a1100dcfbd81b6b91ff33b7e840ca4.md)"
Etilometro,1,Misurazione del tasso alcolemico  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20del%20tasso%20alcolemico%2019a1100dcfbd81478aa7f117bfc0bce8.md)
Utente,4,"Misurazione del tasso alcolemico  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20del%20tasso%20alcolemico%2019a1100dcfbd81478aa7f117bfc0bce8.md), Misurazione di sostanze stupefacenti  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20di%20sostanze%20stupefacenti%2019a1100dcfbd8100bf0dfc27fcb71188.md)"
Motore (Esterna),2,Blocco dell’avvio del veicolo  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Blocco%20dell%E2%80%99avvio%20del%20veicolo%2019a1100dcfbd816d8568c80ceac15f92.md)
Alert (Astratta),7,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
"Tecnico ",3,Contatto assistenza (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Contatto%20assistenza%2019a1100dcfbd8140a469d8c5e6d61f15.md)
Servizio (Astratta),13,Contatto assistenza (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Contatto%20assistenza%2019a1100dcfbd8140a469d8c5e6d61f15.md)
CentralinaIOT,10,"Blocco dell’avvio del veicolo  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Blocco%20dell%E2%80%99avvio%20del%20veicolo%2019a1100dcfbd816d8568c80ceac15f92.md), Controllo misurazione (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Controllo%20misurazione%2019a1100dcfbd8168a563ed39b9a87fcc.md), Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md), Visualizzazione storico delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20storico%20delle%20segnalazioni%2019a1100dcfbd8157b9eef30462da37e6.md)"
AlertManutenzioneSensoreSostanze,14,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
AlertAlcol,9,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
AlertSostanze,16,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
AlertManutenzioneEtilometro,12,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
ServerCentrale,11,Connettività e Segnalazione in tempo reale (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Connettivit%C3%A0%20e%20Segnalazione%20in%20tempo%20reale%2019a1100dcfbd81b09db3cfb166eabfa3.md)
"Forze dell’Ordine ",18,Contatto assistenza (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Contatto%20assistenza%2019a1100dcfbd8140a469d8c5e6d61f15.md)
Sensore (Astratta),15,"Misurazione del tasso alcolemico  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20del%20tasso%20alcolemico%2019a1100dcfbd81478aa7f117bfc0bce8.md), Misurazione di sostanze stupefacenti  (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Misurazione%20di%20sostanze%20stupefacenti%2019a1100dcfbd8100bf0dfc27fcb71188.md)"
"Assistenza stradale ",8,Contatto assistenza (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Contatto%20assistenza%2019a1100dcfbd8140a469d8c5e6d61f15.md)
DashBoard,17,"Visualizzazione delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20delle%20segnalazioni%2019a1100dcfbd81b6b91ff33b7e840ca4.md), Visualizzazione storico delle segnalazioni (B%20Analisi%20dei%20Requisiti/Requisiti%20Funzionali/Visualizzazione%20storico%20delle%20segnalazioni%2019a1100dcfbd8157b9eef30462da37e6.md)"